1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
438: n = 1 m = 7, ms = 3, mst = a[0..0][2..2]
439: n = 4 m = 3, ms = 9, mst = a[2..2][0..2]
440: n = 2 m = 7, ms = 6, mst = a[0..0][0..3]
441: n = 6 m = 6, ms = 21, mst = a[2..5][0..5]
442: n = 2 m = 8, ms = 12, mst = a[0..1][0..4]
443: n = 5 m = 4, ms = 8, mst = a[3..3][1..2]
444: n = 9 m = 8, ms = 16, mst = a[2..8][0..2]
445: n = 2 m = 10, ms = 7, mst = a[1..1][0..6]
446: n = 5 m = 7, ms = 10, mst = a[0..0][3..5]
447: n = 7 m = 10, ms = 35, mst = a[0..5][1..6]
448: n = 4 m = 5, ms = 9, mst = a[0..1][2..3]
449: n = 1 m = 6, ms = 3, mst = a[0..0][3..3]
450: n = 7 m = 9, ms = 24, mst = a[0..4][1..6]
451: n = 10 m = 3, ms = 24, mst = a[1..7][0..2]
452: n = 8 m = 10, ms = 10, mst = a[3..5][1..4]
453: n = 9 m = 10, ms = 27, mst = a[0..8][0..8]
454: n = 2 m = 4, ms = 6, mst = a[0..1][1..2]
455: n = 2 m = 10, ms = 6, mst = a[0..1][8..9]
456: n = 8 m = 5, ms = 11, mst = a[0..5][0..1]
457: n = 3 m = 2, ms = 2, mst = a[2..2][1..1]
458: n = 8 m = 10, ms = 19, mst = a[3..7][3..5]
459: n = 6 m = 10, ms = 15, mst = a[3..5][7..9]
460: n = 7 m = 8, ms = 27, mst = a[3..6][3..7]
461: n = 8 m = 7, ms = 21, mst = a[0..4][0..3]
462: n = 6 m = 8, ms = 9, mst = a[0..2][0..1]
463: n = 5 m = 4, ms = 16, mst = a[1..4][2..3]
464: n = 4 m = 8, ms = 12, mst = a[0..1][0..7]
465: n = 6 m = 5, ms = 20, mst = a[0..5][0..4]
466: n = 9 m = 3, ms = 13, mst = a[3..7][0..2]
467: n = 4 m = 8, ms = 18, mst = a[0..2][1..7]
468: n = 2 m = 2, ms = 2, mst = a[0..0][0..0]
469: n = 5 m = 6, ms = 14, mst = a[0..4][0..2]
470: n = 3 m = 10, ms = 14, mst = a[1..1][1..6]
471: n = 2 m = 1, ms = 0, mst is empty
472: n = 8 m = 3, ms = 15, mst = a[1..5][0..1]
473: n = 9 m = 1, ms = 10, mst = a[0..8][0..0]
474: n = 7 m = 4, ms = 26, mst = a[0..6][0..1]
475: n = 1 m = 2, ms = 2, mst = a[0..0][1..1]
476: n = 2 m = 2, ms = 0, mst is empty
477: n = 4 m = 2, ms = 9, mst = a[1..3][0..1]
478: n = 2 m = 7, ms = 12, mst = a[0..1][3..5]
479: n = 2 m = 3, ms = 8, mst = a[0..1][1..2]
480: n = 5 m = 10, ms = 10, mst = a[0..4][1..2]
481: n = 10 m = 6, ms = 25, mst = a[2..9][0..5]
482: n = 8 m = 6, ms = 10, mst = a[0..3][3..5]
483: n = 4 m = 9, ms = 9, mst = a[2..2][1..3]
484: n = 9 m = 8, ms = 30, mst = a[6..8][0..6]
485: n = 1 m = 3, ms = 0, mst = a[0..0][1..1]
486: n = 6 m = 3, ms = 10, mst = a[0..3][0..2]
487: n = 9 m = 8, ms = 18, mst = a[0..5][3..6]
488: n = 9 m = 4, ms = 21, mst = a[0..4][1..2]
489: n = 2 m = 7, ms = 4, mst = a[0..0][0..0]
490: n = 1 m = 1, ms = 1, mst = a[0..0][0..0]
491: n = 10 m = 1, ms = 11, mst = a[4..8][0..0]
492: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
493: n = 8 m = 2, ms = 13, mst = a[2..7][0..1]
494: n = 5 m = 9, ms = 9, mst = a[0..0][3..5]
495: n = 3 m = 9, ms = 9, mst = a[1..2][4..8]
496: n = 2 m = 5, ms = 3, mst = a[1..1][0..0]
497: n = 4 m = 8, ms = 11, mst = a[0..1][0..7]
498: n = 6 m = 7, ms = 13, mst = a[1..2][0..6]
499: n = 8 m = 7, ms = 24, mst = a[3..6][0..6]
500: n = 3 m = 3, ms = 4, mst = a[0..0][2..2]
501: n = 7 m = 6, ms = 18, mst = a[1..6][4..5]
502: n = 2 m = 2, ms = 2, mst = a[0..0][0..0]
503: n = 9 m = 4, ms = 9, mst = a[3..5][0..0]
504: n = 6 m = 1, ms = 4, mst = a[2..2][0..0]
505: n = 3 m = 5, ms = 12, mst = a[0..1][2..3]
506: n = 10 m = 6, ms = 8, mst = a[8..9][3..5]
507: n = 3 m = 6, ms = 7, mst = a[1..2][4..4]
508: n = 8 m = 8, ms = 25, mst = a[5..7][3..7]
509: n = 9 m = 2, ms = 15, mst = a[1..5][0..1]
510: n = 6 m = 2, ms = 4, mst = a[0..2][1..1]
511: n = 3 m = 10, ms = 9, mst = a[0..2][8..9]
512: n = 9 m = 9, ms = 27, mst = a[3..7][2..7]
513: n = 2 m = 5, ms = 10, mst = a[0..1][3..4]
514: n = 7 m = 10, ms = 24, mst = a[0..2][0..3]
515: n = 1 m = 5, ms = 10, mst = a[0..0][1..3]
516: n = 2 m = 5, ms = 4, mst = a[0..0][0..1]
517: n = 4 m = 4, ms = 7, mst = a[0..1][1..2]
518: n = 7 m = 6, ms = 6, mst = a[0..1][1..1]
519: n = 2 m = 2, ms = 2, mst = a[0..0][1..1]
520: n = 1 m = 3, ms = 6, mst = a[0..0][0..1]
521: n = 3 m = 3, ms = 6, mst = a[1..2][0..0]
522: n = 3 m = 2, ms = 8, mst = a[1..2][0..0]
523: n = 8 m = 4, ms = 9, mst = a[0..1][1..3]
524: n = 9 m = 2, ms = 7, mst = a[0..0][0..1]
525: n = 7 m = 4, ms = 9, mst = a[0..6][3..3]
526: n = 6 m = 4, ms = 7, mst = a[2..3][1..2]
527: n = 2 m = 7, ms = 17, mst = a[0..1][0..5]
528: n = 10 m = 9, ms = 37, mst = a[3..8][0..7]
529: n = 9 m = 10, ms = 21, mst = a[0..8][2..5]
530: n = 3 m = 3, ms = 7, mst = a[0..2][1..2]
531: n = 2 m = 9, ms = 5, mst = a[1..1][6..7]
532: n = 3 m = 2, ms = 0, mst = a[0..0][0..0]
533: n = 4 m = 6, ms = 7, mst = a[0..0][0..1]
534: n = 6 m = 9, ms = 13, mst = a[1..4][5..7]
535: n = 8 m = 10, ms = 24, mst = a[2..4][3..8]
536: n = 10 m = 8, ms = 18, mst = a[4..9][3..6]
537: n = 1 m = 10, ms = 8, mst = a[0..0][1..5]
538: n = 7 m = 10, ms = 15, mst = a[1..4][6..9]
539: n = 1 m = 8, ms = 2, mst = a[0..0][0..0]
540: n = 3 m = 10, ms = 10, mst = a[0..2][8..8]
541: n = 2 m = 10, ms = 23, mst = a[0..1][0..8]
542: n = 7 m = 7, ms = 13, mst = a[0..6][4..4]
543: n = 5 m = 1, ms = 4, mst = a[2..2][0..0]
544: n = 2 m = 10, ms = 9, mst = a[0..1][0..1]
545: n = 5 m = 9, ms = 33, mst = a[0..3][0..8]
546: n = 3 m = 9, ms = 11, mst = a[0..2][0..1]
547: n = 10 m = 1, ms = 7, mst = a[7..9][0..0]
548: n = 4 m = 6, ms = 10, mst = a[0..2][2..3]
549: n = 10 m = 4, ms = 14, mst = a[6..8][0..3]
550: n = 7 m = 6, ms = 9, mst = a[1..6][4..4]
551: n = 10 m = 2, ms = 8, mst = a[7..9][0..1]
552: n = 3 m = 2, ms = 7, mst = a[1..2][0..1]
553: n = 4 m = 10, ms = 14, mst = a[1..3][6..9]
554: n = 6 m = 2, ms = 11, mst = a[2..5][0..0]
555: n = 2 m = 4, ms = 4, mst = a[0..0][2..3]
556: n = 3 m = 7, ms = 11, mst = a[0..2][5..6]
557: n = 8 m = 8, ms = 21, mst = a[4..7][0..7]
558: n = 9 m = 10, ms = 19, mst = a[0..2][0..7]
559: n = 10 m = 6, ms = 9, mst = a[2..4][0..1]
560: n = 3 m = 1, ms = 6, mst = a[0..2][0..0]
561: n = 3 m = 8, ms = 17, mst = a[0..2][3..7]
562: n = 5 m = 1, ms = 10, mst = a[1..3][0..0]
563: n = 1 m = 2, ms = 5, mst = a[0..0][0..1]
564: n = 9 m = 9, ms = 35, mst = a[2..6][0..6]
565: n = 9 m = 10, ms = 25, mst = a[0..6][2..8]
566: n = 5 m = 3, ms = 11, mst = a[0..3][0..0]
567: n = 3 m = 5, ms = 14, mst = a[0..1][0..2]
568: n = 8 m = 8, ms = 25, mst = a[2..4][0..7]
569: n = 9 m = 10, ms = 26, mst = a[0..5][2..5]
570: n = 10 m = 8, ms = 19, mst = a[1..9][5..6]
571: n = 7 m = 9, ms = 10, mst = a[4..6][5..8]
572: n = 7 m = 10, ms = 25, mst = a[0..5][2..8]
573: n = 4 m = 8, ms = 19, mst = a[2..3][0..7]
574: n = 1 m = 5, ms = 0, mst = a[0..0][0..0]
575: n = 6 m = 3, ms = 8, mst = a[0..5][0..0]
576: n = 5 m = 5, ms = 10, mst = a[1..4][1..2]
577: n = 4 m = 7, ms = 16, mst = a[0..0][0..5]
578: n = 10 m = 2, ms = 6, mst = a[5..9][0..0]
579: n = 7 m = 10, ms = 20, mst = a[1..6][4..9]
580: n = 10 m = 8, ms = 20, mst = a[1..4][0..3]
581: n = 4 m = 2, ms = 3, mst = a[0..0][1..1]
582: n = 8 m = 10, ms = 21, mst = a[3..5][1..8]
583: n = 4 m = 7, ms = 22, mst = a[0..2][1..6]
584: n = 1 m = 8, ms = 11, mst = a[0..0][1..7]
585: n = 10 m = 5, ms = 13, mst = a[0..3][0..4]
586: n = 6 m = 10, ms = 15, mst = a[0..2][7..8]
587: n = 4 m = 6, ms = 7, mst = a[0..3][1..2]
588: n = 4 m = 9, ms = 29, mst = a[0..3][3..7]
589: n = 10 m = 10, ms = 21, mst = a[0..6][5..9]
590: n = 3 m = 2, ms = 5, mst = a[0..1][0..0]
591: n = 1 m = 9, ms = 0, mst = a[0..0][0..0]
592: n = 5 m = 2, ms = 4, mst = a[4..4][0..0]
593: n = 9 m = 9, ms = 41, mst = a[1..8][0..8]
594: n = 8 m = 4, ms = 9, mst = a[0..7][0..1]
595: n = 7 m = 9, ms = 18, mst = a[5..6][1..8]
596: n = 3 m = 6, ms = 7, mst = a[2..2][2..5]
597: n = 8 m = 7, ms = 17, mst = a[5..7][3..5]
598: n = 10 m = 5, ms = 13, mst = a[0..2][0..3]
599: n = 4 m = 10, ms = 12, mst = a[0..2][7..9]
600: n = 3 m = 9, ms = 29, mst = a[0..2][2..8]
601: n = 5 m = 1, ms = 0, mst = a[2..2][0..0]
602: n = 4 m = 5, ms = 12, mst = a[2..3][0..1]
603: n = 10 m = 8, ms = 32, mst = a[1..8][2..6]
604: n = 10 m = 3, ms = 9, mst = a[0..4][2..2]
605: n = 1 m = 5, ms = 3, mst = a[0..0][0..0]
606: n = 5 m = 6, ms = 4, mst = a[0..1][5..5]
607: n = 3 m = 10, ms = 30, mst = a[0..1][1..9]
608: n = 2 m = 9, ms = 11, mst = a[0..1][0..8]
609: n = 9 m = 5, ms = 11, mst = a[1..3][2..4]
610: n = 3 m = 10, ms = 22, mst = a[0..1][1..8]
611: n = 1 m = 2, ms = 3, mst = a[0..0][1..1]
612: n = 9 m = 1, ms = 2, mst = a[0..0][0..0]
613: n = 6 m = 1, ms = 10, mst = a[2..5][0..0]
614: n = 5 m = 9, ms = 17, mst = a[0..0][1..8]
615: n = 5 m = 7, ms = 10, mst = a[4..4][0..3]
616: n = 3 m = 3, ms = 7, mst = a[1..2][2..2]
617: n = 4 m = 2, ms = 5, mst = a[1..2][1..1]
618: n = 1 m = 8, ms = 9, mst = a[0..0][1..4]
619: n = 4 m = 5, ms = 17, mst = a[0..3][2..4]
620: n = 6 m = 8, ms = 34, mst = a[1..5][0..6]
621: n = 8 m = 3, ms = 23, mst = a[0..6][0..2]
622: n = 2 m = 1, ms = 2, mst = a[0..1][0..0]
623: n = 9 m = 6, ms = 19, mst = a[0..8][1..4]
624: n = 8 m = 1, ms = 13, mst = a[3..7][0..0]
625: n = 8 m = 6, ms = 10, mst = a[2..6][3..5]
626: n = 2 m = 1, ms = 4, mst = a[0..1][0..0]
627: n = 2 m = 9, ms = 5, mst = a[0..1][6..7]
628: n = 1 m = 6, ms = 7, mst = a[0..0][4..5]
629: n = 7 m = 8, ms = 20, mst = a[2..4][3..7]
630: n = 2 m = 7, ms = 3, mst = a[0..0][6..6]
631: n = 3 m = 8, ms = 11, mst = a[2..2][0..3]
632: n = 1 m = 1, ms = 0, mst = a[0..0][0..0]
633: n = 5 m = 4, ms = 4, mst = a[0..0][1..1]
634: n = 1 m = 6, ms = 8, mst = a[0..0][1..3]
635: n = 7 m = 4, ms = 14, mst = a[0..2][0..3]
636: n = 5 m = 3, ms = 11, mst = a[0..2][0..2]
637: n = 9 m = 3, ms = 9, mst = a[0..6][0..0]
638: n = 3 m = 7, ms = 9, mst = a[0..0][0..3]
639: n = 1 m = 6, ms = 2, mst = a[0..0][0..0]
640: n = 2 m = 5, ms = 5, mst = a[0..0][1..2]
641: n = 2 m = 10, ms = 6, mst = a[1..1][0..1]
642: n = 3 m = 1, ms = 5, mst = a[1..2][0..0]
643: n = 6 m = 2, ms = 7, mst = a[4..5][0..1]
644: n = 1 m = 10, ms = 6, mst = a[0..0][2..5]
645: n = 2 m = 6, ms = 7, mst = a[0..1][3..3]
646: n = 8 m = 4, ms = 33, mst = a[0..5][0..3]
647: n = 4 m = 2, ms = 4, mst = a[0..0][0..0]
648: n = 4 m = 9, ms = 8, mst = a[0..2][2..8]
649: n = 7 m = 7, ms = 35, mst = a[0..5][0..6]
650: n = 6 m = 8, ms = 21, mst = a[0..5][2..7]
651: n = 5 m = 7, ms = 14, mst = a[0..2][4..6]
652: n = 10 m = 5, ms = 21, mst = a[1..6][0..4]
653: n = 2 m = 1, ms = 0, mst is empty
654: n = 1 m = 8, ms = 7, mst = a[0..0][2..6]
655: n = 1 m = 8, ms = 4, mst = a[0..0][0..1]
656: n = 3 m = 9, ms = 16, mst = a[1..2][2..4]
657: n = 8 m = 3, ms = 13, mst = a[0..7][2..2]
658: n = 8 m = 7, ms = 13, mst = a[4..5][0..2]
659: n = 2 m = 1, ms = 2, mst = a[0..0][0..0]
660: n = 3 m = 9, ms = 8, mst = a[0..2][1..1]
661: n = 3 m = 5, ms = 10, mst = a[0..2][0..0]
662: n = 3 m = 5, ms = 18, mst = a[0..2][0..4]
663: n = 1 m = 9, ms = 6, mst = a[0..0][2..5]
664: n = 1 m = 8, ms = 7, mst = a[0..0][5..6]
665: n = 4 m = 6, ms = 24, mst = a[0..2][0..5]
666: n = 6 m = 6, ms = 11, mst = a[5..5][0..4]
667: n = 9 m = 5, ms = 12, mst = a[5..8][3..4]
668: n = 1 m = 3, ms = 2, mst = a[0..0][2..2]
669: n = 4 m = 10, ms = 21, mst = a[1..3][2..9]
670: n = 10 m = 4, ms = 13, mst = a[0..2][0..1]
671: n = 7 m = 8, ms = 12, mst = a[0..1][5..6]
672: n = 2 m = 6, ms = 6, mst = a[0..1][2..4]
673: n = 1 m = 8, ms = 9, mst = a[0..0][2..6]
674: n = 3 m = 4, ms = 6, mst = a[0..1][0..1]
675: n = 1 m = 8, ms = 5, mst = a[0..0][1..2]
676: n = 7 m = 8, ms = 12, mst = a[0..1][0..6]
677: n = 10 m = 7, ms = 21, mst = a[0..9][5..6]
678: n = 3 m = 7, ms = 11, mst = a[0..1][1..6]
679: n = 5 m = 4, ms = 16, mst = a[0..4][0..3]
680: n = 3 m = 5, ms = 12, mst = a[0..2][2..4]
681: n = 5 m = 1, ms = 4, mst = a[0..1][0..0]
682: n = 9 m = 3, ms = 10, mst = a[0..4][1..1]
683: n = 2 m = 3, ms = 2, mst = a[0..0][1..1]
684: n = 7 m = 10, ms = 39, mst = a[1..5][0..5]
685: n = 1 m = 4, ms = 7, mst = a[0..0][1..2]
686: n = 6 m = 1, ms = 4, mst = a[2..2][0..0]
687: n = 9 m = 5, ms = 39, mst = a[0..5][0..4]
688: n = 4 m = 6, ms = 14, mst = a[1..3][0..2]
689: n = 9 m = 6, ms = 16, mst = a[3..8][5..5]
690: n = 7 m = 8, ms = 11, mst = a[2..3][1..6]
691: n = 1 m = 6, ms = 10, mst = a[0..0][2..5]
692: n = 2 m = 2, ms = 4, mst = a[0..1][1..1]
693: n = 5 m = 9, ms = 18, mst = a[2..3][1..5]
694: n = 6 m = 10, ms = 21, mst = a[0..1][1..3]
695: n = 10 m = 8, ms = 38, mst = a[0..5][0..6]
696: n = 7 m = 8, ms = 18, mst = a[0..6][1..5]
697: n = 5 m = 1, ms = 3, mst = a[0..0][0..0]
698: n = 4 m = 10, ms = 25, mst = a[0..3][0..9]
699: n = 5 m = 3, ms = 8, mst = a[1..2][2..2]
700: n = 9 m = 3, ms = 13, mst = a[0..1][0..2]
701: n = 9 m = 8, ms = 27, mst = a[4..7][0..6]
702: n = 8 m = 5, ms = 12, mst = a[2..5][2..4]
703: n = 3 m = 2, ms = 7, mst = a[0..2][0..1]
704: n = 4 m = 3, ms = 7, mst = a[0..2][0..2]
705: n = 7 m = 5, ms = 19, mst = a[5..6][1..4]
706: n = 3 m = 4, ms = 6, mst = a[0..0][2..3]
707: n = 1 m = 3, ms = 0, mst = a[0..0][1..1]
708: n = 10 m = 8, ms = 29, mst = a[1..8][0..3]
709: n = 5 m = 5, ms = 29, mst = a[2..4][0..3]
710: n = 9 m = 8, ms = 28, mst = a[6..8][0..6]
711: n = 9 m = 5, ms = 28, mst = a[0..3][0..4]
712: n = 8 m = 3, ms = 14, mst = a[1..7][0..2]
713: n = 8 m = 4, ms = 15, mst = a[2..6][0..0]
714: n = 2 m = 4, ms = 0, mst = a[0..0][0..0]
715: n = 2 m = 2, ms = 4, mst = a[0..0][1..1]
716: n = 6 m = 10, ms = 26, mst = a[4..5][1..7]
717: n = 4 m = 6, ms = 5, mst = a[0..1][0..0]
718: n = 5 m = 8, ms = 17, mst = a[0..4][5..6]
719: n = 7 m = 5, ms = 9, mst = a[0..3][1..2]
720: n = 8 m = 10, ms = 16, mst = a[0..4][3..6]
721: n = 3 m = 9, ms = 19, mst = a[0..2][0..8]
722: n = 4 m = 3, ms = 11, mst = a[0..3][0..0]
723: n = 9 m = 1, ms = 7, mst = a[3..6][0..0]
724: n = 7 m = 8, ms = 17, mst = a[1..6][3..7]
725: n = 1 m = 5, ms = 6, mst = a[0..0][0..4]
726: n = 3 m = 4, ms = 17, mst = a[0..2][0..3]
727: n = 10 m = 5, ms = 29, mst = a[0..8][0..4]
728: n = 3 m = 6, ms = 5, mst = a[0..2][5..5]
729: n = 2 m = 5, ms = 7, mst = a[0..0][3..4]
730: n = 10 m = 9, ms = 18, mst = a[1..7][1..5]
731: n = 10 m = 4, ms = 11, mst = a[6..9][1..3]
732: n = 7 m = 10, ms = 14, mst = a[5..6][1..5]
733: n = 8 m = 2, ms = 10, mst = a[0..4][1..1]
734: n = 8 m = 10, ms = 25, mst = a[0..5][3..4]
735: n = 4 m = 5, ms = 8, mst = a[0..1][3..4]
736: n = 9 m = 2, ms = 24, mst = a[0..8][1..1]
737: n = 5 m = 5, ms = 13, mst = a[1..4][0..2]
738: n = 3 m = 9, ms = 9, mst = a[0..1][0..1]
739: n = 1 m = 1, ms = 0, mst = a[0..0][0..0]
740: n = 9 m = 5, ms = 18, mst = a[1..5][0..2]
741: n = 5 m = 1, ms = 9, mst = a[0..4][0..0]
742: n = 2 m = 5, ms = 15, mst = a[0..1][0..4]
743: n = 9 m = 3, ms = 19, mst = a[3..8][2..2]
744: n = 4 m = 8, ms = 14, mst = a[0..3][0..2]
745: n = 4 m = 9, ms = 11, mst = a[0..1][0..3]
746: n = 9 m = 10, ms = 21, mst = a[6..7][0..7]
747: n = 6 m = 8, ms = 32, mst = a[0..5][1..7]
748: n = 10 m = 1, ms = 7, mst = a[3..4][0..0]
749: n = 8 m = 1, ms = 6, mst = a[1..6][0..0]
750: n = 4 m = 1, ms = 3, mst = a[1..1][0..0]
751: n = 1 m = 4, ms = 3, mst = a[0..0][0..0]
752: n = 10 m = 6, ms = 17, mst = a[2..5][2..4]
753: n = 2 m = 4, ms = 3, mst = a[0..0][1..2]
754: n = 6 m = 3, ms = 14, mst = a[0..4][0..2]
755: n = 9 m = 2, ms = 7, mst = a[0..0][0..1]
756: n = 1 m = 9, ms = 5, mst = a[0..0][4..6]
757: n = 7 m = 5, ms = 6, mst = a[3..5][2..2]
758: n = 10 m = 8, ms = 33, mst = a[0..6][0..7]
759: n = 10 m = 8, ms = 21, mst = a[0..3][1..6]
760: n = 9 m = 4, ms = 14, mst = a[7..8][0..3]
761: n = 6 m = 9, ms = 18, mst = a[0..0][0..5]
762: n = 2 m = 9, ms = 21, mst = a[1..1][2..8]
763: n = 2 m = 7, ms = 7, mst = a[0..1][2..3]
764: n = 3 m = 4, ms = 11, mst = a[0..2][1..2]
765: n = 4 m = 2, ms = 8, mst = a[2..3][1..1]
766: n = 2 m = 8, ms = 10, mst = a[0..0][0..7]
767: n = 4 m = 7, ms = 6, mst = a[1..3][2..2]
768: n = 10 m = 6, ms = 16, mst = a[1..5][1..4]
769: n = 10 m = 5, ms = 29, mst = a[2..9][1..4]
770: n = 4 m = 9, ms = 17, mst = a[0..0][0..7]
771: n = 5 m = 9, ms = 19, mst = a[1..3][0..6]
772: n = 4 m = 6, ms = 21, mst = a[0..3][0..5]
773: n = 2 m = 8, ms = 15, mst = a[0..1][1..6]
774: n = 9 m = 10, ms = 36, mst = a[2..6][0..9]
775: n = 8 m = 7, ms = 14, mst = a[3..6][0..6]
776: n = 1 m = 2, ms = 0, mst = a[0..0][1..1]
777: n = 3 m = 7, ms = 12, mst = a[1..1][2..6]
778: n = 8 m = 9, ms = 14, mst = a[0..4][5..6]
779: n = 8 m = 7, ms = 23, mst = a[0..2][0..3]
780: n = 10 m = 1, ms = 4, mst = a[3..4][0..0]
781: n = 10 m = 5, ms = 28, mst = a[1..6][0..4]
782: n = 8 m = 10, ms = 28, mst = a[0..5][2..9]
783: n = 8 m = 3, ms = 9, mst = a[0..0][0..2]
784: n = 4 m = 10, ms = 14, mst = a[0..3][6..7]
785: n = 1 m = 7, ms = 3, mst = a[0..0][0..0]
786: n = 10 m = 1, ms = 4, mst = a[8..8][0..0]
787: n = 9 m = 2, ms = 12, mst = a[1..5][1..1]
788: n = 2 m = 5, ms = 4, mst = a[0..0][2..2]
789: n = 6 m = 9, ms = 8, mst = a[3..5][4..4]
790: n = 6 m = 6, ms = 28, mst = a[0..5][0..3]
791: n = 3 m = 1, ms = 1, mst = a[0..0][0..0]
792: n = 10 m = 9, ms = 33, mst = a[3..9][2..7]
793: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
794: n = 7 m = 6, ms = 19, mst = a[0..6][4..5]
795: n = 2 m = 1, ms = 3, mst = a[0..0][0..0]
796: n = 7 m = 6, ms = 17, mst = a[2..6][2..5]
797: n = 9 m = 3, ms = 10, mst = a[5..8][0..2]
798: n = 5 m = 9, ms = 23, mst = a[0..4][0..8]
799: n = 5 m = 9, ms = 27, mst = a[1..4][0..6]
800: n = 2 m = 10, ms = 15, mst = a[0..1][0..8]
801: n = 2 m = 10, ms = 10, mst = a[1..1][5..8]
802: n = 7 m = 6, ms = 9, mst = a[0..3][4..5]
803: n = 3 m = 9, ms = 7, mst = a[1..1][6..8]
804: n = 8 m = 4, ms = 17, mst = a[2..3][0..3]
805: n = 9 m = 4, ms = 11, mst = a[0..3][1..3]
806: n = 3 m = 7, ms = 11, mst = a[0..2][1..3]
807: n = 7 m = 5, ms = 7, mst = a[2..2][2..4]
808: n = 4 m = 1, ms = 6, mst = a[0..3][0..0]
809: n = 10 m = 3, ms = 18, mst = a[1..6][1..2]
810: n = 9 m = 5, ms = 15, mst = a[0..5][0..4]
811: n = 3 m = 6, ms = 9, mst = a[0..2][2..4]
812: n = 2 m = 2, ms = 4, mst = a[0..0][0..0]
813: n = 6 m = 2, ms = 10, mst = a[1..3][0..1]
814: n = 3 m = 5, ms = 6, mst = a[1..2][1..1]
815: n = 7 m = 2, ms = 1, mst = a[1..1][1..1]
816: n = 2 m = 1, ms = 5, mst = a[0..1][0..0]
817: n = 6 m = 4, ms = 11, mst = a[3..4][1..3]
818: n = 3 m = 2, ms = 6, mst = a[0..1][0..0]
819: n = 7 m = 7, ms = 9, mst = a[1..4][4..5]
820: n = 2 m = 3, ms = 3, mst = a[0..0][0..0]
821: n = 9 m = 6, ms = 21, mst = a[0..8][2..4]
822: n = 1 m = 1, ms = 1, mst = a[0..0][0..0]
823: n = 5 m = 6, ms = 19, mst = a[0..3][0..1]
824: n = 8 m = 1, ms = 1, mst = a[3..3][0..0]
825: n = 1 m = 9, ms = 2, mst = a[0..0][1..1]
826: n = 8 m = 10, ms = 29, mst = a[0..6][1..7]
827: n = 4 m = 3, ms = 6, mst = a[0..0][0..2]
828: n = 6 m = 9, ms = 14, mst = a[5..5][2..8]
829: n = 1 m = 8, ms = 4, mst = a[0..0][2..2]
830: n = 7 m = 6, ms = 15, mst = a[1..4][1..3]
831: n = 6 m = 3, ms = 20, mst = a[0..4][0..2]
832: n = 4 m = 5, ms = 16, mst = a[1..2][0..4]
833: n = 5 m = 3, ms = 4, mst = a[2..2][2..2]
834: n = 7 m = 2, ms = 5, mst = a[0..0][0..1]
835: n = 10 m = 4, ms = 18, mst = a[0..7][2..3]
836: n = 10 m = 5, ms = 11, mst = a[9..9][0..3]
837: n = 4 m = 4, ms = 8, mst = a[1..3][3..3]
838: n = 2 m = 4, ms = 4, mst = a[0..0][3..3]
839: n = 10 m = 9, ms = 17, mst = a[1..3][0..2]
840: n = 7 m = 6, ms = 10, mst = a[1..6][2..2]
841: n = 6 m = 3, ms = 23, mst = a[0..5][0..2]
842: n = 6 m = 2, ms = 9, mst = a[2..3][0..1]
843: n = 4 m = 1, ms = 4, mst = a[3..3][0..0]
844: n = 9 m = 2, ms = 10, mst = a[0..3][0..0]
845: n = 8 m = 5, ms = 17, mst = a[4..5][0..3]
846: n = 4 m = 5, ms = 12, mst = a[1..2][1..2]
847: n = 10 m = 8, ms = 21, mst = a[6..8][2..7]
848: n = 1 m = 9, ms = 11, mst = a[0..0][4..7]
849: n = 3 m = 4, ms = 5, mst = a[0..1][3..3]
850: n = 3 m = 4, ms = 17, mst = a[0..2][0..2]
851: n = 5 m = 10, ms = 26, mst = a[0..2][1..9]
852: n = 4 m = 8, ms = 7, mst = a[0..1][1..2]
853: n = 6 m = 1, ms = 9, mst = a[1..5][0..0]
854: n = 5 m = 7, ms = 8, mst = a[4..4][0..6]
855: n = 8 m = 2, ms = 12, mst = a[0..6][0..1]
856: n = 9 m = 8, ms = 28, mst = a[3..8][0..7]
857: n = 10 m = 10, ms = 28, mst = a[0..9][4..9]
858: n = 4 m = 4, ms = 14, mst = a[0..2][1..3]
859: n = 10 m = 2, ms = 14, mst = a[0..8][0..1]
860: n = 7 m = 4, ms = 39, mst = a[0..6][0..3]
861: n = 9 m = 9, ms = 40, mst = a[0..8][0..8]
862: n = 7 m = 2, ms = 4, mst = a[5..6][1..1]
863: n = 6 m = 7, ms = 7, mst = a[3..5][6..6]
864: n = 4 m = 9, ms = 16, mst = a[0..3][0..4]
865: n = 6 m = 2, ms = 10, mst = a[2..5][1..1]
866: n = 3 m = 5, ms = 9, mst = a[1..2][1..3]
867: n = 6 m = 4, ms = 10, mst = a[3..5][0..3]
868: n = 2 m = 10, ms = 6, mst = a[0..1][1..1]
869: n = 3 m = 2, ms = 4, mst = a[1..1][1..1]
870: n = 1 m = 5, ms = 4, mst = a[0..0][1..1]
871: n = 7 m = 2, ms = 8, mst = a[2..2][0..1]
872: n = 10 m = 5, ms = 11, mst = a[2..3][1..3]
873: n = 9 m = 3, ms = 11, mst = a[2..8][2..2]
874: n = 3 m = 7, ms = 14, mst = a[0..2][0..6]
